"","PAU89988T_6h","PAU89988T_24h","PATU8902_6h","PATU8902_24h","AveExpr","F","P.Value","adj.P.Val"
"ZNF639",0.117913554060033,0.0466018873321641,-0.116752549127421,0.257479266982124,6.12888665448863,2.15019641443598,0.121913366056708,0.381612914619211
"UBE2C",-0.214963766815814,-0.226307025198096,-0.0238714624153946,-0.283637497185723,9.1559250105313,2.1500886507987,0.121927494107254,0.381612914619211
"NUDT17",-0.527376543537714,-0.368705056640179,0.0788757547698546,0.00020130775535776,2.28886293077464,2.14987115943082,0.121956013080673,0.381612914619211
"C2CD2L",-0.063101895602196,-0.185559925879335,0.13746344169042,-0.0795042417592846,2.98622983620378,2.14963275385822,0.121987282730167,0.381612914619211
"NFRKB",-0.0899213575498177,-0.0265963161893312,0.00261749865815819,-0.157246773589523,4.94822188813211,2.14942676532118,0.122014307469647,0.381612914619211
"CCNT2",0.188743658318758,0.16991681292987,-0.0227419584989459,0.380580055082363,3.61966240302809,2.14913480656172,0.122052622158806,0.381612914619211
"EXOSC3",0.16424841574529,0.0535395535880925,-0.0456059652304299,0.0957774908542133,6.37482296258852,2.14880031950871,0.122096533913088,0.381612914619211
"SCFD1",0.131178680294048,0.0597573245935363,-0.0161636237035294,0.259158154626371,7.02942689795739,2.14879434252809,0.1220973187312,0.381612914619211
"LRRC49",0.190624870757881,0.0452765674544029,0.315371893378525,0.419743780562992,2.98008385734681,2.14855225090232,0.122129111575115,0.381612914619211
"BAHD1",-0.148952649081237,-0.0445950828826147,0.10050083134368,-0.109087970496499,3.95630211099857,2.14822751290808,0.122171772021152,0.381612914619211
"ARTN",-0.322928277478114,0.142420723724893,0.344834187950468,0.356451214169727,0.742655165125028,2.14812784752925,0.122184868164935,0.381612914619211
"IL4R",0.017499775296919,-0.00647404073602331,0.0118108698681278,-0.240231649706134,4.04210712245074,2.14771627978086,0.122238964661003,0.381612914619211
"SOCS5",0.137674974416887,0.04621266218237,-0.0680050788233286,0.312776149331337,4.05050020655696,2.14767246261927,0.12224472551231,0.381612914619211
"BBOX1-AS1",-0.109289263922755,-0.0512519100789469,-0.101643372779597,0.596458286614011,0.721762040284149,2.14745327668301,0.122273547326451,0.381612914619211
"EFHD2",-0.00370279335062484,-0.117271959097319,0.0550395709562395,-0.204593910573608,6.66679524138611,2.14696761185572,0.122337435829278,0.381612914619211
"RPS15",0.0545943953491062,-0.101017308163033,0.0320481334952234,-0.380002427777304,9.54085299952106,2.14692406500093,0.122343166112151,0.381612914619211
"VAPB",0.147990918212636,0.0853548936309654,0.0319374680901428,0.0764639483557206,5.93200501714106,2.14678116075365,0.122361972757717,0.381612914619211
"CAMKK2",0.00711200573011794,-0.00655626713086743,0.118695080638786,-0.0650970346691953,4.90053752633719,2.14673947709242,0.122367459044757,0.381612914619211
